# Pathway	5492_S3_Abundance	5501_S5_Abundance
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)|unclassified	219.8395610009	266.5232214107
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	630.5802219627	1607.3170208321
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	272.9415977487	567.6788426675
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	21.5330843779	56.7272406433
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	798.3226209819	854.5650555643
TRNA-CHARGING-PWY: tRNA charging|unclassified	197.8717877472	0
TRPSYN-PWY: L-tryptophan biosynthesis|g__Acidovorax.s__Acidovorax_avenae	672.8176488605	2044.7539736950
TRPSYN-PWY: L-tryptophan biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	228.6470236849	470.2640699758
TRPSYN-PWY: L-tryptophan biosynthesis|g__Massilia.s__Massilia_sp_BSC265	893.6797808238	0
TRPSYN-PWY: L-tryptophan biosynthesis|g__Massilia.s__Massilia_sp_LC238	2751.4332323507	1980.3294378334
TRPSYN-PWY: L-tryptophan biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	0	39.2669642599
TRPSYN-PWY: L-tryptophan biosynthesis|unclassified	855.2448282841	1153.3090814287
TYRFUMCAT-PWY: L-tyrosine degradation I|unclassified	609.3216753904	506.7799234273
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)|unclassified	652.8339558187	1095.0442919397
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	593.2490606100	1454.0990634054
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	255.3053586858	492.3790346310
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1302.9568018012	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2371.7254483137	2032.5125128750
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	22.9016092402	60.7471052387
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	993.4492208222	1730.9693021069
URSIN-PWY: ureide biosynthesis|unclassified	627.4628077256	809.4206054547
VALSYN-PWY: L-valine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1513.9516442880	3315.7862948483
VALSYN-PWY: L-valine biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	374.1529052921	734.7689725053
VALSYN-PWY: L-valine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	2345.6670757441	0
VALSYN-PWY: L-valine biosynthesis|g__Massilia.s__Massilia_sp_LC238	4183.5750838201	3795.2829086963
VALSYN-PWY: L-valine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	40.1295330146	77.5479226545
VALSYN-PWY: L-valine biosynthesis|unclassified	724.2917795264	990.2656424728
